nrCrt,Denumire agent economic,cod unic de inregistrare
1199,PIATA DE SUS SRL,RO34175368
1200,PIENARIU RAFILA PERSOANA FIZICA AUTORIZATA,31144774
1201,PIF&FRIENDS SRL,39929659
1202,PILBAK&LENART PAPETARIE SRL,RO39928300
1203,PINTEA AURELIA IULIANA II,29445902
1204,Pitigoi Ovidiu-Viorel,36448871
1205,PITULICE GHE. ELZA MAGDALENA I.F.,18190889
1206,PLADIUM TRADING SYSTEM SRL,RO37895860
1207,PLOTUNA LIVIA ANCA II,6276510
1208,POMPI UNICO BUSINESS SRL,RO6462076
1209,POP  V. OVIDIU  INTREPRINDERE  INDIVIDUALA,27896736
1210,POP A LILIANA INTREPRINDERE FAMILIALA,17680378
1211,POPA GHE E ANGHEL INTREPRINDERE INDIVIDUALA,40894880
1212,POPA I M IOAN COMERT INTREPRINDERE INDIVIDUALA,39420646
1213,Popa M M Maria PFA,37908978
1214,POPAS srl,RO138306
1215,Popescu,38144020
1216,POPESCU CRISTIAN NICOLAE INTEPRINDERE INDIVIDUALA,32862560
1217,POPESCU GHEORGHE-DANUT INTREPRINDERE INDIVIDUALA,33425733
1218,POPESCU NICOLAE I MARIN INTREPRINDERE INDIVIDUALA,36620712
1219,Popovici mariana simena,33770146
1220,PORUMB FAMILY SRL,36476138
1221,PORUMBESCU I. AUREL INTREPRINDERE FAMILIALA,17358470
1222,POSTALIU I IULIANA IF,10401042
1223,Poturu Ionut Cristian,RO30617904
1224,PREDESCU M. FILOFTEIA-SAFTA II,40857726
1225,PREMIUM SRL,RO4100908
1226,PRIBEK ALEXANDRU INTREPRINDERE FAMILIALA,RO11446778
1227,Primera Business Trading Srl,RO25734908
1228,PRO AS COMPANY,RO15025518
1229,Pro Vogue SRL,RO9775140
1230,PROCESCOLECT METAL SRL,RO35901779
1231,PROD COM SZIMI SRL,8799478
1232,PRODALIM TEO SRL,RO30641651
1233,PRODSERV NANU 45 SRL,35905126
1234,PRODSIF SRL,2840039
1235,"PRODUCTIE ALIMENTATIE PUBLICA ,,SANMOL,, SRL",RO557347
1236,Productie Athos S.R.L,RO2566414
1237,PRODUCTIE PRESTARI SERVICII SI COMERT JUTTI SRL,RO6294452
1238,PROFI ROM FOOD SRL,RO11607939
1239,PROFILIS TOTAL,RO22644649
1240,PROINVEST  DESIGN  COMP,RO11050357
1241,PROMETEU SRL,RO192836
1242,PROSOFT DANIEL SRL,RO15321769
1243,PROSONIC PRODCOM SRL,RO8762193
1244,PUNCTUAL COMIMPEX S.R.L.,RO1205047
1245,Pupazan  Nelica  Intreprindere Individuala,32476356
1246,Purcarea V. Vasile I.I.,30921015
1247,PURCAREANU M MARIN ALEXANDRU INTREPRINDERE INDIVIDUALA,24023273
1248,QUASAR TRADE SRL,RO35731810
1249,QUATRO GRUP DISTRIBUTION SRL,RO25168353
1250,Queen Monaco Network Distribution SRL,RO29206620
1251,QUO VADIS,RO11828239
1252,R.D.N.-EXCOMPRES SRL,RO7475368
1253,R.L.RALCOM SRL,RO37157633
1254,R.P.L. SRL,RO8678344
1255,Rab Iren,31644095
1256,RADCOM CONSULT S.R.L.,RO29288360
1257,RADI UNITED SRL,RO34004210
1258,RADMA PRODCOM SRL,RO4237442
1259,RADROPACOM,RO34177466
1260,Radu D Nicolae if,12529812
1261,Radu M Rodica II,RO28294062
1262,Radu Madalin Market,39780548
1263,RÄdulescu Evantia,28180335
1264,RAI DISTRIBUTION,RO33280624
1265,Ralco Team srl,RO18976488
1266,RALU CARM S.R.L,RO33786916
1267,Ralumarc M&M Srl,RO36209319
1268,Ram-nel Mini Market Srl,34743174
1269,RAMALIA SRL,RO3239160
1270,RAMERAS SRL,RO10997698
1271,ramira premium market,39100765
1272,RANDI.HR IDEAL,RO29273050
1273,Ranvix&Lau,28227870
1274,RASIMA BUSINESS SRL,36576412
1275,RAULA 2004,16957498
1276,RAVEL SRL,RO3047431
1277,Razvalex mixtcom srl,40836413
1278,REALCRYS MOB SRL,RO26003370
1279,RECON,RO3623887
1280,RED DOWNSTREAM OPERATIONS SRL,RO27418189
1281,REGGIO DI FLORIO SRL,RO4740419
1282,REITU CORNELIA INTREPRINDERE INDIVIDUALA,20615019
1283,Remember Second Srl,RO6798298
1284,RENTABILUX-GEN SRL,RO28439317
1285,RETEZATUL ALIM SRL,RO24928582
1286,REVENGE SRL,RO16496947
1287,REWE (ROMANIA) S.R.L,RO13348610
1288,REZARU GRUP SRL,40008984
1289,RHEA DRINKS SRL,RO30652405
1290,RICO SERVICOM SRL,RO5540192
1291,RIMASEB SRL,RO13719467
1292,RIMEX COM SRL,RO9485813
1293,RIN CRIS RETAIL SRL,RO34758795
1294,RIO DEL SOL MARKET SRL,RO33247660
1295,RIOVIRG SRL,RO2572718
1296,RIULETUL IMPEX,6026638
1297,RIV. COM. SRL NEHOIU,6112712
1298,RLF MARKET STAR S.R.L.,RO38943574
1299,RO DACIA COM SRL,RO7893360
1300,RO MARIO EXCLUSIV S.R.L.,RO6834072
1301,RO4884899,RO4884899
1302,RO7116739,RO7116739
1303,RO9817920,RO9817920
1304,Rode mar distrib srl,RO33628878
1305,RODEMI,RO5724632
1306,RODIMAR ALIMENT S.R.L.,36127570
1307,roditexcom srl,39221619
1308,Rogoz Ionut Adelin,RO2279034
1309,Rogoz Mariana,RO9420318
1310,ROHAMUR,RO10524533
1311,ROLISTEL COM SRL,RO10233070
1312,ROMA & PANDA SRL,RO12849230
1313,ROMAN GHE ADRIAN INTREPRINDERE INDIVIDUALA,36737829
1314,ROMANIA HYPERMARCHE SA,RO14374293
1315,ROMBEER CRINGASU SRL,RO6850671
1316,ROMIGHE COM SRL,6191937
1317,ROMOLD GRUP S.R.L.,RO4841952
1318,ROMSTAR IMPEX S.R.L.,RO3336022
1319,Ron Bussines Group SRL,RO35612290
1320,ROPERFORM SRL,RO31250694
1321,ROSTAN-CONF SRL,RO3894266
1322,ROT-MAR COMEXIM SRL,RO11523757
1323,ROTARU M. OCTAVIAN INTREPRINDERE FAMILIALA,14957408
1324,ROTMARI DM IMPORT EXPORT SRL,RO396186
1325,ROTONDA,RO1119221
1326,ROXALEX COM SRL,RO9821654
1327,ROXANA SERCOM,3781704
1328,ROXANA SRL,RO2733911
1329,ROXY IMPEX '94 SRL,RO6272632
1330,RTI GROUP TRADING,RO17509204
1331,RUK TOUR,16023779
1332,RUPEANCA,1138657
1333,RUSET ELENA PERSOANA FIZICA AUTORIZATA,20072222
1334,Rusu D. Vasile - Intrepridere Familiala,10341447
1335,RUSU I MIRELA PFA,34142433
1336,RUSU VALERIA P.F.A.,RO33541649
1337,S C BALAS PROD SRL,RO6784608
1338,S C EVA  SLOBOZIA  SRL,RO9708028
1339,S C LACTA HAN PROD SRL,RO11084988
1340,S C NEMARO 03 COM SRL,9953922
1341,S C ROMAR PRODCOM IMPEX SRL,RO5158070
1342,S COOP CONSUMCOOP BRETCU,RO538116
1343,S D TRADING,RO5107165
1344,S. C. PALCRIST SRL,RO11400495
1345,S. C. SIRMA TRANS IMPEX S. R. L.,RO15159226
1346,S.C ABI - COM S.R.L. CASIN,976760
1347,s.c alimicos s.r.l,RO32739347
1348,S.C ALINTOMAX SRL,RO16561620
1349,S.C BETTY-COM S.R.L,RO3120044
1350,S.C CINEMA PARK SRL,RO30331634
1351,S.C DON LUCIANO S.R.L,16810690
1352,S.c DORU COM S.R.L.,RO2299031
1353,S.C EDY-ANDREI S.R.L,23258581
1354,S.c Fast food la saracu s.r.l,38708030
1355,"S.C G,A.T. SRL  GALATI",1656012
1356,S.C GRECU PRINTING S.R.L.,39601430
1357,S.C Ioan C.I.D Trading S.R.L,5898205
1358,S.C M&S SECURITY SYSTEMS SRL,RO25125220
1359,S.C MARTIEFREMIA S.R.L,40025420
1360,S.C NISTOR COMPANY S.R.L,RO8177025
1361,S.C NOMILIF SHOP S.R.L,RO38951739
1362,S.C RIMECOSELL S.R.L,RO28549425
1363,S.C S.P. LUCACI S.R.L.,RO36389953
1364,S.C TECOSANTIS S.RL,RO1640504
1365,S.C Zarnesti Com Srl,RO9651991
1366,S.C ZELIG INEDIT BNC S.R.L,RO9996176
1367,S.C.  ROTVAL  KMI  S.R.L.,RO25784264
1368,S.C.  ROYANA SRL,RO16561484
1369,S.C. ABI GRUP S.R.L.,RO12176753
1370,S.C. ADI IMPEX SRL,RO4150353
1371,S.C. ADL ORION SRL,RO24022294
1372,S.C. AGROSERA MARISE S.R.L,35883117
1373,S.C. ALEX KLA-G SRL,40508742
1374,S.C. ALIN-HODO'S S.R.L.,RO17987659
1375,S.C. ALIPET MARKET S.R.L.,39612811
1376,S.C. AMA CABINEX S.R.L.,39289851
1377,S.C. AMMY ADELMAR S.R.L,RO35601631
1378,S.C. AndyBel COM S.R.L,4429138
1379,S.C. Anotimp S.R.L.,RO733621
1380,S.C. AURA'S COMPANY DISTRIBUTION SRL,38199815
1381,S.C. AUREX S.R.L.,RO1860879
1382,S.C. AVE S.R.L.,RO1135006
1383,S.C. Bella-Ritzi SRL,RO13407686
1384,S.C. BIG COM S.R.L.,RO5206258
1385,S.C. BOGRAM CRISRAM SRL,RO28170560
1386,S.C. BRANDS INTERNATIONAL S.R.L.,RO15291684
1387,S.C. BUHIMEX S.R.L.,RO2375473
1388,S.C. BUNA SERVIRE S.R.L. CÃNDEÈTI - DÃMBOVIÈA,RO3964361
1389,S.C. CAF PROD COMIMPEX S.R.L,RO6799226
1390,S.C. CARTAXO MAGIC S.R.L.,RO15251345
1391,S.C. CEREALE S.A,RO6851308
1392,S.C. CIN-CIN S.R.L.,RO2750874
1393,S.C. CLEOPATRA S.R.L.,RO15352625
1394,S.C. Comedia SRL,RO11485289
1395,S.C. COMEND INVEST S.R.L.,RO17697485
1396,S.C. COMINTER DUMBRAVA IMPEX SRL,RO2737093
1397,S.C. CONECT S.R.L.,RO4930456
1398,S.C. CONT SERVICE S.R.L.,RO5993703
1399,s.c. crisnic comert srl,RO31037204
1400,S.C. DAN & CIP S.R.L.,RO24245741
1401,S.C. DANA & IULIAN SRL,RO14931238
1402,S.C. Dandy'93 S.R.L.,RO11126935
1403,S.C. DARIUS PRO SERV SRL,RO35131971
1404,S.C. DAVALYNA COM S.R.L.,6259188
1405,S.C. Deaici Trade S.R.L.,RO24190298
1406,S.C. Deak Hamor S.R.L.,RO537870
1407,S.c. Diamant Negro S.R.L.,RO11016029
1408,S.C. DIANA THEODORA S.R.L.,24423571
1409,S.C. DIAVOLO S.R.L.,RO14890650
1410,S.C. Diva Exclusive Trade S.R.L.,38986443
1411,S.C. DIVERS S.R.L.,RO1997664
1412,S.C. DOLCIL S.R.L.,RO15747765
1413,S.C. DONTRUS SERVCONSTRUCT S.R.L.,RO5695626
1414,S.C. DUMPING COM SRL,RO9775507
1415,S.C. Ecosprint 78 SRL,RO14516185
1416,S.C. Edwood Industry S.R.L.,34421233
1417,S.C. EL UNICO PARADIS S.R.L.,RO13915420
1418,S.C. ELECTRONIC SERVICE 2000 S.R.L.,RO13306355
1419,S.C. ELIS S.R.L,RO2463508
1420,S.C. ELLE HOUSE CORPORATION S.R.L.,RO22278106
1421,S.C. EMADY PLUS S.R.L.,RO36864059
1422,S.C. Emma Stef Concept S.R.L.,38735336
1423,S.C. EMVIOS S.R.L.,RO10373759
1424,S.C. ENERVA IMPEX S.R.L.,8538294
1425,S.C. EURO FARM INVEST S.R.L.,RO18161255
1426,S.C. EXPANS COMCARN S.R.L.,RO32891140
1427,S.C. FAMBU PROD-IMPEX S.R.L.,RO7019736
1428,S.C. FIGENTO S.R.L.,RO8566871
1429,S.C. FILVEK S.R.L.,RO11407612
1430,S.C. FLAUR AGRITUD S.R.L.,RO33732860
1431,S.C. Flor Com Prod S.R.L.,RO4170814
1432,S.C. FLORANS INSTAL S.R.L.,RO24420990
1433,S.C. Florin S.R.L,RO733524
1434,S.C. Fluent Expres S.R.L,RO10301701
1435,S.C. GALAXY DISTRIBUTION S.R.L.,RO17307124
1436,S.C. GENERAL IMPEX 2010 S.R.L.,RO8149157
1437,S.C. GETA UNIVERSAL S.R.L.,RO25914550
1438,s.c. GIG srl,RO14200670
1439,S.C. GOMICOM S.R.L,RO15907904
1440,S.C. GUVA NIC S.R.L.,RO15800605
1441,S.C. HTS HONGTA SERVICES S.R.L.,RO22716893
1442,S.C. IFIGENIA COMERT S.R.L.,39842993
1443,S.C. ILGECO LUCSAR S.R.L.,RO32693673
1444,S.C. ILUFAM MARKET S.R.L.,RO33697231
1445,S.C. IMPEX MIULESCU S.R.L.,RO3087401
1446,S.C. INTERCOM A&D SRL,RO15040836
1447,S.C. IULI-DAN COMPANY S.R.L.,RO15822085
1448,S.C. IZAFLOR S.R.L.,RO15945878
1449,S.C. JANORON PROD SERVIS SRL,RO2602843
1450,S.C. JORA C+E S.R.L.,7699152
1451,S.C. KING S PUB S.R.L.,RO2860990
1452,S.C. Kiosk Trading Srl,RO30803745
1453,S.C. KTP TREI S.R.L.,RO37959793
1454,S.C. L&J impex srl,10815109
1455,S.C. LA TAICA LAZAR S.R.L.,RO8238831
1456,S.C. LAZA TRADING S.R.L,RO0229188
1457,S.C. LEMPOBOG S.R.L.,RO30524228
1458,S.C. LUCEAFARUL S.R.L.,RO2216362
1459,S.C. LUCI FLOR SRL,RO7138001
1460,S.C. LUMINA PRODCOM S.R.L.,RO1237006
1461,S.C. M si I GAS S.R.L.,RO24382528
1462,S.C. M UNU G S.R.L.,RO15061057
1463,S.C. M.V.A. ELECTRO - SERVICE SRL,RO1889123
1464,S.C. Madi Cominvest S.R.L.,RO5462493
1465,S.C. Marjen S.R.L.,17421233
1466,S.C. MATEROM S.R.L.,RO6556731
1467,S.C. MIKEL  IMPEX  SRL,RO4991771
1468,S.C. MILAND S.R.L.,RO14989671
1469,S.C. MIMOZA S.R.L,RO6071469
1470,S.C. MINI BAR GYONGYI S.R.L.,RO1131942
1471,S.C. Mitrea Prest S.R.L.,RO11785049
1472,S.C. MOGA TRANSCOM S.R.L.,RO7611729
1473,S.C. MOROIANU CONS S.R.L.,RO5587535
1474,S.C. MOTOREX SERV S.R.L.,RO7804711
1475,S.C. MYA MARKET S.R.L.,38675676
1476,S.C. NADIMEX MAG S.R.L.,RO32220390
1477,S.C. NARUTO UZUMAKI S.R.L,RO29239643
1478,S.C. NERVOMAX IMPEX S.R.L,7646492
1479,S.C. NICOLE ASIST LOGISTIC S.R.L.,RO31482473
1480,S.C. NINS COMEXIM S.R.L.,RO4415582
1481,s.c. Niral Time srl,RO38285037
1482,S.C. OANLAR S.R.L.,9000179
1483,S.C. OBY COMERT SRL,16689662
1484,S.C. OCTAGON GROUP S.R.L.,RO11428038
1485,S.C. OIL SIMEX TRADING SRL,RO7249603
1486,S.C. OLIMP S.R.L.,RO935639
1487,S.C. OMENI S.R.L.,RO1936900
1488,S.C. OSWALDO SRL,RO2542040
1489,S.C. PARADIS HSN S.R.L.,35134668
1490,S.C. Parthenos Prod. Com. S.R.L.,RO8471593
1491,S.C. PARTY VALEY L&J SRL,RO19060224
1492,S.C. PASMARI S.R.L,RO7316796
1493,S.C. PERTIT S.R.L.,4463210
1494,S.C. PICU HB 93 S.N.C,4393395
1495,S.C. PIESE MONDOMAG S.R.L.,RO33969409
1496,S.C. PITA IMPEX SRL,RO24774041
1497,S.C. PLACEDO MAROSA S.R.L.,35852854
1498,S.C. PORTAURUS 1981 S.R.L.,RO34022968
1499,S.C. PRECIZIA COM S.R.L.,RO2271561
1500,S.C. PRO ANSA S.R.L,RO11316018
1501,S.C. Pubalimar S.R.L.,39153085
1502,S.C. REAL PANMERCOM IMPORT EXPORT S.R.L,RO6063644
1503,S.C. SAMI MONI IMPEX S.R.L.,RO11464863
1504,S.C. SELECT MOBILITY S.R.L.,RO34521399
1505,S.C. SELF MARKET DICO S.R.L.,RO26448700
1506,S.C. SEM TEAM PARTENER S.R.L.,RO16139677
1507,S.C. SERCO S.R.L. OneÈti,RO958454
1508,S.C. SERVICE APOLLO S.R.L.,RO535098
1509,S.C. Simojed Corexim S.R.L.,RO8055362
1510,S.C. SOLDACOM S.R.L.,RO16735009
1511,S.C. SOLO&CO S.R.L.,RO25038922
1512,S.C. STAR SERV WINE S.R.L.,RO28950477
1513,S.C. STEFAN LUCIAN-IMPEX SRL,RO5580588
1514,S.C. TANSY-ACTIV S.R.L.,RO27270774
1515,S.C. TEHNOLOGY S&O SRL,RO35233076
1516,S.C. TEO-SOF S.R.L.,RO13136420
1517,S.C. TOTAL SUPERSTORE SRL,RO35646021
1518,S.C. TRICOTAJE A.M. S.R.L.,RO2086181
1519,S.C. UNION 3 F COM SRL,4434860
1520,S.C. VALEROS S.R.L.,RO15696203
1521,s.c. vanibis s.r.l,RO16277912
1522,s.c. vanibis s.r.l,16277912
1523,S.C. VEGA PRIME DISTRIBUTION SRL,RO26132935
1524,S.C. VENUS IMP EX S.R.L.,RO1294460
1525,S.C. VIANELA COM S.R.L.,RO15538793
1526,S.C. Victoria Principal S.R.L,39495495
1527,S.C. VIO PADUREAN S.R.L.,5528210
1528,s.c. vladyx srl,14337651
1529,s.c. vladyx world srl,38793590
1530,S.C. XAMUS IMPORT-EXPORT S.R.L.,RO5201196
1531,S.C. XENIA COM S.R.L.,RO7184911
1532,S.C.ADA HOLDING SRL,14910090
1533,S.C.Alegria Trade S.R.L.,RO16658470
1534,S.C.ARAMIS S.R.L,RO6218544
1535,S.C.ARTA DIN FAINA PIPA SRL,RO19010927
1536,S.C.BULF IMPEX SRL,RO8249172
1537,S.C.C.CONSUMCOOP ODOBESTI,RO1459835
1538,S.C.Claudius srl,RO12773921
1539,S.C.CONSUMCOOP BODOC,RO2564332
1540,S.C.COVALEX COSTEL .S.R.L,RO4052851
1541,S.C.CRACIUNESCU AMI-MAR S.R.L.,36100191
1542,S.C.CRISGAB.SRL,RO16663328
1543,S.C.EUXIN S.R.L.,RO9720064
1544,S.C.GIUMBO COM S.R.L,RO4416430
1545,S.C.HABOS TYRE SRL,RO31034178
1546,S.C.ICOM SERV S.R.L.,RO7424402
1547,S.C.IORDACHE 07 PRODCOM SRL,RO6679335
1548,S.C.KAIN IMPEX SRL,RO4668429
1549,S.C.LUXOR COMPANY SRL,RO1957767
1550,S.C.MAFIROZ PROD S.R.L.,RO5373078
1551,S.C.MAREMOD S.A,RO9708800
1552,S.C.MAVIOS IMPEX SRL,RO4306240
1553,S.C.MERCUR LUX S.R.L.,RO796220
1554,S.C.METROPOL S.R.L.,RO131618
1555,S.C.MFG COMFLORI S.R.L.,RO14242748
1556,S.C.MILY MIRAND PRO SRL,33366289
1557,S.C.SIFOCOM S.R.L.,12090104
1558,S.C.SIMPA S.A.,RO785078
1559,S.C.TODRILIN S.R.L.,RO27819229
1560,S.C.TOTAL DISTRIBUTION GRUP PRODIMPEX SRL,RO17854393
1561,S.C.TOTAL GRUP INVEST S.R.L.,RO22618755
1562,S.C.VAD IMPEX SRL,7811743
1563,S.C.VALS&CO ANGELO SRL,RO2374850
1564,S.C.VALVERSILV S.R.L.,RO14402644
1565,S.C.VULTURUL ARCHIUDEAN PRODCOM SRL,RO3533946
1566,SABCO-S SRL,RO17124453
1567,SAFARY IMPEX SRL,4009207
1568,SAFE BUSSINES CONSULTING SRL,RO16295110
1569,SAFIR SRL,RO822044
1570,SAIAN COM SRL,RO5335589
1571,SALI ROBERT INTREPRINDERE INDIVIDUALA,RO30959460
1572,Salon Apt Log srl,38847780
1573,salvador com,RO5499328
1574,SAM RAL SRL,38395978
1575,Samlex Bar,RO4193540
1576,samos,RO15765770
1577,SANDANY,RO17751002
1578,Sandu AF RODICA II,36231375
1579,SANDU I V NICOLETA PERSOANA FIZICA AUTORIZATA,28304891
1580,Santos-Impex Srl,5237718
1581,SARA SRL,RO2323490
1582,Sarner. Srl,RO3480892
1583,SAVA INVENT SRL,RO26569388
1584,SAVA S&S GRUP SRL,RO17622636
1585,SAVE HELP INVEST S.R.L.,RO35344490
1586,SC  ADAMS  COMPANY SRL,21059809
1587,SC  CIRIL PETROLEUM SRL,RO32630942
1588,SC  DORIDO SRL,7555211
1589,SC  GIACOB  SRL,RO3295739
1590,SC  Heda Tehnocom SRL,RO4519451
1591,SC  HURBAN COM SRL,RO8407817
1592,SC  KIPPEN  DIDI  SRL,31797099
1593,SC  KRISS GECOM  SRL,31252075
1594,SC  Lucas Market SRL-D,RO35166023
1595,SC  MAIA  CAT  SRL,32552089
1596,SC  MYG  GIVE  SRL,32073680
1597,SC  Necstar Nu-l vom SRL,RO30439157
1598,SC  PAURLENTOP SRL,31442835
1599,SC  SHABBY  VINTAGE  SRL,RO31801530
1600,SC  STEF CRIS MARKET SRL,RO36460352
1601,SC  VADLUR  SRL,32098633
1602,Sc 24hourshop srl,RO30591146
1603,SC 2YOU IMPACT I&T  SRL,RO38421139
1604,SC ABA FLOR PROD COM SRL,RO10506510
1605,SC ABA TURISM SRL,RO22209548
1606,SC ABC PLUS SRL,RO0062240
1607,SC ACC ALEX93 SRL,RO5294462
1608,SC ACIDOR SRL,RO6067220
1609,SC ACTIV SRL,4443582
1610,SC ADENYAS DAM S.R.L.,RO18309034
1611,SC ADIMAR NICOMIXT COM SRL,30788246
1612,sc adiral com srl,RO16730150
1613,SC ADMIR SRL,RO7743940
1614,sc ADRIAS IMPEX srl,RO18895731
1615,sc ADRILAV CAM SRL,38232792
1616,SC ADY SRL,4421401
1617,SC AFINOS DISTRIBUTION SRL,RO34644464
1618,SC AGAMEX TRADE SRL,RO21782961
1619,SC AGAPIS IMPEX SRL,RO2366947
1620,SC AGENDA PRODCOM SRL,RO8136319
1621,SC AGNIPAN SRL,RO27101040
1622,SC AGREVO SRL,RO8427547
1623,SC Agricola Sfintesti SRL,RO34356135
1624,SC AGRIN SRL,RO508921
1625,SC AGRO BEGA SRL,RO15835360
1626,SC AGRO PRIM SRL,RO16133348
1627,SC AGROFAM COM SRL,RO2081770
1628,SC AGROMEC HONORICI SRL,RO7732399
1629,SC AGRORENT 2000 SRL,RO13374430
1630,Sc ajantaprod impex srl,RO10794499
1631,SC AKTUELL COM SRL,4336926
1632,SC Alcom SRL,RO5027546
1633,SC ALEN&JULIA S.R.L.,15481182
1634,SC ALETIS SRL,RO8258723
1635,SC ALETUD FOODS SRL,RO29574800
1636,SC ALETYS IMPEX SRL,RO5982569
1637,SC ALEX 86 SELECT BUSINESS,RO34925729
1638,SC ALEX GLOBAL LOGISTIC SRL,RO31448943
1639,SC ALEX LAU D.M. SRL,RO39860531
1640,SC ALEX MARKET DIVERS SRL,RO34917734
1641,SC ALEXA CARO 2001 SRL,RO37185331
1642,SC Alexandros Trend SRL,RO25177831
1643,SC ALEXANDRU CAM-SERV SRL,RO31564875
1644,SC ALEXE ALEX SNC,RO4284924
1645,SC ALEXIA 2002 STYLE SRL,31499076
1646,SC ALEXIA COM SRL,RO15990399
1647,SC ALEXIMA CONSTRUCT SAM SRL,28353029
1648,SC ALEXNEL SRL,RO9144964
1649,SC ALEXRODI SRL,RO13487030
1650,SC ALEXTIN BUCOVINA SRL,RO29829890
1651,SC ALFA STAR SRL,RO15487118
1652,SC ALGILOGO SRL,35909446
1653,SC Aligeo Company SRL,RO22009833
1654,SC ALIKAR SRL,RO17285875
1655,SC ALIM VICTORIA MC SRL,RO32149907
1656,SC ALIMAR SRL,RO14029430
1657,SC ALIMAR&ANASTASIA SRL,RO40262574
1658,SC ALIMCOM GRIVITEI SRL,RO13176654
1659,SC ALIMEX RF SRL,RO143760
1660,SC ALINA MAGIC COM SRL,RO1153746
1661,SC ALINA MAR SRL,RO5385730
1662,SC ALINUSH AGRO SRL,RO1397295
1663,SC ALINUTZA MARKET SRL,RO30682570
1664,sc Aliomclau srl,25665050
1665,SC ALMARD IMPEX SRL,RO17680955
1666,SC ALNA SRL,RO8965449
1667,Sc ALSO PUB 27 SRL,31019542
1668,SC ALSTEF BUSINESS SHOP 2011 SRL,RO28705168
1669,SC ALVORIO COM SRL,RO6868261
1670,sc alygroup srl,RO22231111
1671,SC AMA Com Grup SRL,RO17576700
1672,SC AMA VENDICE SRL,RO25437320
1673,SC AMAPLAST SRL,RO25314408
1674,SC AMEOR SRL,RO28262540
1675,SC AMI MARKET INTERNATIONAL SRL,RO32330090
1676,SC AMICAL SRL,RO24330154
1677,SC AMICII 2 SRL,RO5293947
1678,SC AMILENCOM SRL,RO17690967
1679,SC AMON CONSTRUCTII SRL,RO9971570
1680,SC AMYFLOR MARKET 2014 SRL,RO33530488
1681,SC ANA SERV 2003 SRL,RO15297520
1682,Sc ana si georgi srl,RO18534923
1683,SC ANABELLA IMPEX SRL,4390887
1684,SC ANAHITA CAR WASH SRL,40088290
1685,SC ANAMAR STORE SRL,RO28990676
1686,Sc ANCAROGAB prest srl,33885910
1687,SC ANDARVIO SRL,RO28281429
1688,SC ANDIANA PLACE SRL,40019363
1689,SC ANDRE CIRSTEA SRL,RO13210870
1690,SC ANDREEA ELA.SRL,RO22242943
1691,SC Andreea Impex SRL,RO13853786
1692,SC ANDREEVA IMPEX SRL,RO5168367
1693,SC ANDREICLAU MAGAZIN SRL,35962369
1694,SC ANDRUTA SHOP SRL,RO34970401
1695,SC ANDU SI BUBU SRL,RO35202665
1696,SC ANDY BICHIS SNC,RO4468315
1697,SC ANEMARKET SRL,8068664
1698,Sc Angevis Impex Srl,RO8266513
1699,SC ANIELA SRL,35427820
1700,SC ANISIA 2002 SRL,RO19129953
1701,SC ANIT SRL,RO3049270
1702,SC APMEZ PROD SRL,RO6854533
1703,SC APRILIA SRL,RO19000451
1704,SC APRO - COM IMPEX SRL,RO9279406
1705,SC AQUA ORTUS SRL,RO29904657
1706,SC ARBO SRL,RO4064406
1707,SC ARDAMIS SRL,RO14243573
1708,SC ARDELEAN ADRIAN COMPANY SRL,RO5967810
1709,SC ARGENTINA SRL,RO6631825
1710,SC ARINA COM IMPEX SRL,16421693
1711,SC ARMINIA GROUP SRL,RO18515980
1712,SC ARNOTA SRL,RO2551480
1713,SC ARTA MODEI SRL,RO2539622
1714,SC ARTFAM TEX SRL,17974276
1715,SC ARUBA SRL,RO21245577
1716,SC ARYS IMOB SRL,RO22842166
1717,SC ARZU & EMRAH SRL,RO16947559
1718,SC ATID SRL,RO13480067
1719,SC ATLANTIC FAMILY SRL,RO29007414
1720,SC ATLANTIS SRL,RO2964827
1721,SC ATRASCON SRL,2286201
1722,SC ATTECCO CLUB SA,RO23920475
1723,SC ATU SRL,RO19
1724,SC ATUNEL COM SRL,8810940
1725,SC ATVCARVIO79 SRL,9618723
1726,SC AURA SRL,RO0356033
1727,SC AUREXIM SRL,RO2527008
1728,Sc Auto Grecu S.R.L,RO23103811
1729,SC AUTOMOBIL SERVICE HAIDUC SRL,RO30450945
1730,SC AUTOPAT SERVCE TYRE SRL,39101884
1731,SC AVEM PIZZERIE SRL,RO34570669
1732,SC AXEL SRL,5009361
1733,SC AXOR EXIM SRL,RO9850943
1734,SC B D TUDSERVICE SRL,RO31049268
1735,SC BAC PRESCOM SRL,RO9895228
1736,SC BAC TRADE SRL,RO14989604
1737,SC BALACEANU STEFAN SRL,RO5666531
1738,sc Balanuta snc,RO7188808
1739,SC BALTUD SRL,38579733
1740,SC BAMBI SRL,RO165408
1741,SC BAMODI SRL,RO32301508
1742,SC BARALEXA 2018 SRL,39609115
1743,SC BARCSA SERVICE SRL,RO9296539
1744,SC BARIL FORTE SRL,RO26076380
1745,SC BBBERRY SOLUTIONS SRL,RO36575832
1746,SC BBQ&GRILL  SRL,RO35451127
1747,SC BCC STORES COM SRL,RO27987320
1748,SC BD &CA COMPANY SRL,35479195
1749,SC BELAMI IMPEX SRL,RO2479270
1750,SC BELCOMED SRL,RO9596609
1751,SC BELLCARA EXPRESS SRL,RO25027923
1752,SC BELLROM IMPORT EXPORT SRL,RO9211850
